adjmatrix_key,resp_gend,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,shgparticipate,savings,rationcard,Y,Z,subcaste_2,mothertongue_2,ration_color_2
5,1,1,38,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,7,1,6
6,2,2,27,1,3,0,0,0,0,0,0,2,2,2,2,1,1,0,7,1,6
23,1,1,29,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,6
24,2,2,24,1,3,0,0,0,0,0,0,2,1,1,1,3,1,0,13,1,2
27,1,1,58,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,6
28,2,2,40,1,3,0,0,0,0,0,0,1,1,2,2,1,1,1,13,1,6
33,1,1,54,1,3,0,0,1,0,0,0,2,1,2,2,1,1,0,13,1,6
34,2,2,45,1,3,0,0,0,0,0,0,2,1,2,2,1,1,1,13,1,6
37,2,3,45,1,3,0,0,0,0,0,0,2,2,2,2,1,1,0,13,1,7
38,1,3,40,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,7
39,1,3,40,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,7
40,2,3,35,1,3,0,0,0,0,0,0,2,2,2,2,1,1,0,13,1,7
57,2,1,55,1,1,0,0,0,0,0,0,2,1,2,2,1,1,1,4,1,6
58,2,3,25,1,1,0,0,0,0,0,0,1,1,2,2,1,1,0,4,1,6
59,2,3,20,1,1,0,0,0,0,0,0,1,2,2,2,1,1,0,4,1,6
71,1,1,45,1,1,0,0,0,0,0,0,2,1,2,2,1,1,0,4,1,9
72,2,2,35,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,4,1,9
86,1,1,50,1,3,0,0,0,0,0,0,1,1,2,1,1,1,0,13,1,6
87,2,2,45,1,3,0,0,0,0,0,0,2,1,2,2,1,1,1,13,1,6
89,2,3,24,1,3,0,0,0,0,0,0,1,2,2,1,1,1,0,13,1,6
90,1,1,65,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,6
91,2,2,60,1,3,0,0,0,0,0,0,2,1,2,2,1,1,1,13,1,6
92,1,3,43,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,6
93,2,3,35,1,3,0,0,0,0,0,0,2,2,2,2,1,1,0,13,1,6
110,1,1,40,1,3,0,0,0,0,0,0,1,1,2,2,1,1,1,13,1,9
111,2,2,35,1,3,0,0,0,0,0,0,2,2,2,2,1,1,1,13,1,9
128,1,1,35,1,3,0,0,0,0,0,0,1,1,2,2,1,1,1,7,1,9
129,2,2,31,1,3,0,0,0,0,0,0,2,2,1,1,1,1,1,7,1,9
134,1,1,38,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,7
135,2,2,33,1,3,0,0,0,0,0,0,2,2,1,2,1,1,1,13,1,7
137,2,3,20,1,3,0,0,0,0,0,1,1,2,2,2,3,0,0,13,1,2
138,2,3,18,1,3,0,0,0,0,0,0,1,1,2,2,1,0,0,13,1,9
140,1,1,50,1,1,0,0,0,0,0,0,1,1,2,2,1,1,1,4,1,6
141,2,2,45,1,1,0,0,0,0,1,0,2,1,1,2,1,1,1,4,1,9
145,1,1,35,1,1,0,0,0,0,0,0,1,1,2,2,1,1,0,4,1,6
146,2,2,30,1,1,0,0,0,0,0,0,2,1,2,2,1,1,1,4,1,6
154,1,1,40,1,1,0,0,0,0,0,0,1,1,2,2,1,1,1,4,1,6
155,2,2,30,1,1,0,0,0,0,0,0,2,2,2,2,1,1,1,4,1,6
162,1,1,45,1,1,0,0,0,0,0,0,1,1,2,2,1,1,1,4,1,6
163,2,2,38,1,1,0,0,0,0,0,0,2,2,2,1,1,1,0,4,1,6
173,1,1,48,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,6
174,2,2,38,1,3,0,0,0,0,0,0,2,1,2,2,1,1,0,13,1,6
179,1,1,35,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,7,1,6
180,2,2,28,1,3,0,0,0,0,0,0,2,2,2,2,1,1,0,7,1,6
183,1,1,40,2,3,1,0,0,0,0,0,1,1,2,2,1,1,1,6,2,9
184,2,2,35,2,3,1,0,0,0,0,0,2,1,1,1,1,1,1,6,2,9
190,1,1,45,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,6
191,2,2,40,1,3,0,0,0,0,0,0,2,2,2,1,1,1,1,13,1,6
209,1,1,60,1,3,0,0,0,0,0,0,1,1,2,1,1,1,0,13,1,6
210,2,2,45,1,3,0,0,0,0,0,0,1,2,1,1,1,1,0,13,1,6
214,1,1,30,1,3,0,0,0,0,0,0,2,1,2,2,3,0,0,13,1,2
215,2,2,25,1,3,0,0,0,0,0,0,1,2,2,2,3,1,1,13,1,2
223,1,1,30,1,3,0,0,0,0,0,0,2,1,2,1,1,0,0,13,1,6
226,1,1,55,1,3,0,0,0,0,0,0,1,1,2,2,1,1,1,9,1,6
227,2,2,50,1,3,0,0,0,0,0,0,2,2,2,2,1,1,1,7,1,6
228,1,3,30,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,7,1,6
229,2,3,28,1,3,0,0,0,0,0,0,2,1,2,2,1,1,0,7,1,6
232,1,1,65,1,4,0,0,1,0,0,0,1,1,2,1,1,1,0,11,1,9
233,2,2,50,1,4,0,0,1,0,0,0,2,2,2,1,1,1,1,11,1,7
235,2,3,21,1,4,0,0,0,0,0,0,1,2,2,2,1,0,0,11,1,7
254,2,2,45,1,3,0,0,0,0,0,0,1,2,2,2,3,0,1,13,1,2
257,1,1,32,1,3,0,0,0,0,0,0,1,1,2,1,1,1,0,13,1,6
258,2,2,27,1,3,0,0,0,0,0,0,2,2,1,2,1,1,1,13,1,6
266,1,1,58,1,3,0,0,0,0,0,0,1,1,2,2,3,1,1,13,1,2
267,2,2,40,1,3,0,0,0,0,0,0,2,1,2,1,3,1,0,13,1,2
269,1,3,45,1,3,0,0,0,0,0,0,1,1,2,2,1,1,1,13,1,6
270,2,2,35,1,3,0,0,0,0,0,0,2,1,2,2,1,1,1,13,1,6
283,1,1,70,1,3,0,0,0,0,0,0,1,1,2,2,1,1,1,13,1,6
284,1,3,40,1,3,0,0,0,0,0,0,1,1,2,2,3,1,1,13,1,2
285,2,3,25,1,3,0,0,0,0,0,0,2,2,2,2,3,0,0,13,1,2
294,1,1,54,1,3,1,0,0,0,0,0,1,1,2,1,1,1,0,13,1,7
295,2,2,45,1,3,0,0,0,0,0,0,2,2,2,2,1,1,1,13,1,7
297,2,3,20,1,3,0,0,0,0,0,1,1,2,2,2,3,0,0,13,1,2
299,1,1,30,1,3,0,0,0,0,0,0,1,1,2,2,3,1,0,3,1,2
300,2,2,28,1,3,0,0,1,0,0,0,2,1,2,2,3,0,0,1,1,2
309,1,1,45,1,3,0,0,0,0,0,0,1,1,2,1,1,1,0,13,1,6
310,2,2,38,1,3,0,0,0,0,0,0,1,1,2,1,1,1,0,13,1,6
320,1,1,75,1,3,0,0,0,0,0,0,1,2,2,2,1,1,0,13,1,7
321,2,2,68,1,3,0,0,0,0,0,0,2,2,2,2,1,1,1,14,1,7
322,1,3,50,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,7
323,2,2,40,1,3,0,0,0,0,0,0,2,2,2,2,1,1,0,13,1,6
326,1,3,42,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,6
327,2,2,31,1,3,0,0,0,0,0,0,2,2,2,2,3,0,0,13,1,2
331,1,1,42,1,3,0,0,0,0,0,0,2,1,2,1,1,1,0,13,1,9
332,2,2,35,1,3,0,0,0,0,0,0,1,2,2,2,1,1,0,13,1,8
350,2,2,42,1,3,0,0,0,0,0,0,2,2,1,1,1,1,1,13,1,9
351,2,3,25,1,3,0,0,0,0,0,0,1,1,1,1,1,1,0,13,1,6
353,1,3,30,1,3,0,0,0,0,0,0,1,1,2,2,1,0,0,13,1,9
354,1,1,40,1,3,0,0,0,0,0,0,1,1,2,1,1,1,0,7,1,6
362,1,1,50,1,3,0,0,0,0,0,0,1,2,2,1,1,0,1,2,1,6
363,2,2,40,1,3,0,0,0,0,0,0,1,2,2,2,1,1,1,12,1,6
365,2,3,18,1,4,0,0,0,0,0,0,2,2,2,2,1,0,0,10,1,6
371,1,1,60,1,4,0,0,0,0,0,0,2,1,2,1,1,0,0,13,1,9
372,2,2,55,1,4,0,0,0,0,0,0,2,2,2,2,1,0,1,13,1,9
374,2,3,30,1,3,0,0,0,0,0,0,1,1,2,2,1,1,1,13,1,6
392,1,1,60,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,6
393,2,2,55,1,3,0,0,0,0,0,0,2,1,2,2,1,1,1,13,1,6
394,1,3,30,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,6
395,2,3,25,1,3,0,0,0,0,0,0,2,1,2,2,1,1,1,13,1,1
397,1,1,45,1,3,0,0,0,0,0,0,1,1,2,2,3,1,0,13,1,2
398,2,2,35,1,3,0,0,0,0,0,0,2,1,2,2,1,1,0,13,1,
401,1,3,35,1,3,0,0,0,0,0,1,1,1,2,2,1,1,0,13,1,4
402,2,3,26,1,3,0,0,0,0,0,0,2,1,1,2,3,1,0,13,1,2
410,1,1,55,1,3,0,0,0,0,0,0,1,1,2,2,1,1,1,13,1,9
411,2,2,45,1,3,0,0,0,0,0,0,2,1,1,1,1,1,1,13,1,9
420,1,1,37,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,9
421,2,2,32,1,3,0,0,0,0,0,0,2,1,1,-888,1,1,1,13,1,6
425,1,1,40,1,3,0,0,0,0,0,0,1,1,2,2,3,1,0,13,1,2
426,2,2,30,1,3,0,0,0,0,0,0,1,1,2,2,3,1,0,13,1,2
429,1,3,70,1,3,0,0,0,0,0,0,1,2,2,2,3,1,1,13,1,2
430,2,3,50,1,3,0,0,0,0,0,0,2,2,2,2,3,1,1,13,1,2
436,1,1,50,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,6
437,2,2,40,1,3,0,0,0,0,0,0,2,1,2,1,1,1,0,13,1,6
444,1,1,50,1,3,0,0,0,0,0,0,1,1,2,1,1,1,0,13,1,6
445,2,2,45,1,3,0,0,0,0,0,0,2,1,2,1,1,1,1,13,1,6
466,1,1,50,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,8,1,9
467,2,1,40,1,3,0,0,0,0,0,0,2,2,2,2,1,1,1,8,1,9
477,1,1,38,1,3,0,0,0,0,0,0,1,1,2,1,3,1,0,13,1,2
478,2,2,32,1,3,0,0,1,0,0,0,2,2,2,2,3,1,0,13,1,2
481,1,1,55,1,3,0,0,0,0,0,0,1,1,2,1,1,1,0,13,1,6
482,2,2,38,1,3,0,0,0,0,0,0,2,1,1,2,3,0,1,13,1,2
514,2,1,60,1,3,0,0,0,0,0,0,2,2,2,2,1,1,1,13,1,9
516,2,3,30,1,3,0,0,0,0,0,0,1,1,2,2,1,1,1,13,1,9
517,2,3,19,1,3,0,0,0,0,0,0,1,2,2,2,1,1,0,13,1,9
518,1,3,24,1,3,0,0,0,0,0,0,2,1,2,2,1,0,0,13,1,9
527,1,1,50,1,3,0,0,0,0,0,0,1,1,2,2,1,1,1,13,1,6
528,2,2,48,1,3,0,0,0,0,0,0,2,2,2,2,1,1,1,13,1,6
543,1,1,57,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,4
544,2,3,50,1,3,0,0,0,0,0,0,2,2,2,2,1,1,0,13,1,4
545,1,1,31,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,4
546,2,3,26,1,3,0,0,0,0,0,1,2,2,2,2,1,1,0,13,1,4
560,1,1,40,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,4
561,2,2,35,1,3,0,0,0,0,0,0,2,1,2,2,1,1,1,13,1,4
572,1,1,47,1,3,0,0,0,0,0,0,1,1,2,1,1,1,0,5,1,5
574,2,3,25,1,4,0,0,0,0,0,0,1,2,1,2,1,1,0,5,1,6
575,2,3,22,1,3,0,0,0,0,0,0,1,2,2,2,1,1,0,5,1,9
576,1,3,32,1,4,0,0,0,0,0,0,2,1,2,2,1,1,0,5,1,6
581,1,1,35,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,11,1,9
582,2,2,30,1,3,0,0,0,0,0,0,1,2,2,2,1,1,0,11,1,9
602,1,1,55,1,3,0,0,0,0,0,0,1,1,2,2,1,1,1,13,1,9
603,2,2,45,1,3,0,0,0,0,0,0,2,1,2,2,1,1,1,13,1,9
605,2,1,60,1,3,0,0,1,0,0,0,1,2,2,-999,1,1,1,13,1,4
611,1,1,30,1,3,0,0,1,0,0,0,1,1,2,2,1,1,0,13,1,6
612,2,2,25,1,3,0,0,0,0,0,0,2,1,1,1,1,1,0,13,1,4
622,1,2,45,1,1,0,0,0,0,0,0,1,1,2,2,1,1,1,4,1,9
623,2,2,40,1,1,0,0,0,0,0,0,2,1,1,1,1,1,1,4,1,9
628,1,1,48,1,3,0,0,1,0,0,0,1,1,2,1,1,1,0,13,1,9
629,2,2,40,1,3,0,0,0,0,0,0,2,1,2,2,1,1,1,13,1,9
642,2,1,55,1,3,0,0,0,0,0,0,2,1,2,2,1,1,1,13,1,4
643,1,3,30,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,4
644,2,3,20,1,1,0,0,0,0,0,0,2,1,2,2,1,1,0,4,1,6
654,1,1,40,1,1,0,0,0,0,0,0,1,2,2,2,1,1,1,4,1,6
655,2,2,35,1,1,0,0,0,0,0,0,2,1,2,2,1,1,1,4,1,6
660,1,1,70,1,1,0,0,0,0,0,0,1,2,2,2,1,1,1,4,1,6
661,2,2,60,1,1,0,0,0,0,0,0,1,2,2,2,1,1,1,4,1,6
662,2,3,19,1,1,0,0,0,0,0,0,1,1,2,2,1,1,0,4,1,6
663,1,1,40,1,1,0,0,0,0,0,0,1,1,2,2,1,1,1,4,1,4
664,2,2,35,1,1,0,0,0,0,0,0,2,1,1,1,1,1,0,4,1,9
676,1,1,50,1,1,0,0,0,0,0,0,1,1,2,2,1,1,1,4,1,6
677,2,2,42,1,1,0,0,0,0,0,0,1,1,2,2,1,1,0,4,1,6
687,1,1,80,1,3,0,0,0,0,0,0,1,2,2,2,1,1,0,13,1,6
688,2,2,70,1,2,0,0,0,0,0,0,2,2,2,2,3,1,1,13,1,2
689,1,3,45,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,6
690,2,3,38,1,3,0,0,0,0,0,0,2,2,2,1,1,1,1,13,1,9
693,1,1,72,1,1,0,0,0,0,0,0,1,2,2,2,1,1,0,4,1,6
701,1,1,80,1,4,0,0,1,0,0,0,1,2,2,1,1,1,0,5,1,7
702,1,3,44,1,4,0,0,0,0,0,0,1,1,2,1,1,1,0,5,1,7
703,2,3,35,1,3,0,0,0,0,0,0,2,2,2,2,1,1,0,5,1,7
707,1,3,43,1,3,0,0,1,0,0,0,2,2,2,2,1,1,0,5,1,7
708,2,3,35,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,5,1,7
709,2,3,18,1,3,0,0,0,0,0,0,1,2,2,2,1,0,0,5,1,7
730,2,1,65,1,3,0,0,0,0,0,0,2,1,2,2,1,1,1,13,1,7
731,1,3,45,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,4
732,2,3,35,1,3,0,0,0,0,0,0,2,1,2,2,1,1,0,13,1,7
735,1,3,30,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,4
736,2,3,25,1,3,0,0,0,0,0,0,2,2,2,2,1,1,0,13,1,7
740,1,1,60,1,3,0,0,0,0,0,0,1,1,2,1,1,1,0,13,1,4
741,2,2,55,1,3,0,0,0,0,0,0,2,2,2,2,1,1,1,13,1,7
742,1,3,38,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,7
743,2,3,28,1,3,0,0,0,0,0,0,2,1,2,2,1,1,0,13,1,7
746,1,3,35,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,7
747,2,3,30,1,3,0,0,0,0,0,0,2,2,2,2,1,1,0,13,1,7
749,1,3,30,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,7
750,2,3,26,1,3,0,0,0,0,0,0,2,2,-999,2,1,1,0,13,1,7
752,1,1,45,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,8,1,6
753,2,2,38,1,3,0,0,0,0,0,0,2,1,2,2,1,1,1,8,1,6
756,1,1,45,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,8,1,6
757,2,2,38,1,3,0,0,0,0,0,0,2,1,2,2,1,1,1,8,1,6
760,1,1,45,1,3,0,0,0,0,0,0,1,1,2,2,1,1,0,13,1,6
761,2,2,32,1,3,0,0,0,0,0,0,2,2,1,1,1,1,1,13,1,6
774,1,1,55,1,3,0,0,0,0,0,0,2,1,2,2,1,1,1,13,1,6
775,2,2,48,1,3,0,0,0,0,0,0,1,1,1,1,1,1,0,13,1,6
778,2,3,20,1,3,0,0,0,0,0,0,1,2,2,2,1,1,0,13,1,6
785,1,1,50,1,3,0,0,0,0,0,0,1,1,2,2,1,1,1,13,1,4
786,2,2,45,1,3,0,0,0,0,0,0,2,1,1,1,1,1,1,13,1,4
787,2,3,20,1,3,0,0,0,0,0,0,1,2,2,2,1,1,0,13,1,9
789,1,3,30,1,3,0,0,0,0,0,0,2,1,2,2,3,0,0,13,1,2
790,1,1,85,1,3,0,0,0,0,0,0,1,2,2,2,1,1,1,13,1,6
791,2,2,62,1,3,0,0,0,0,0,0,2,1,2,2,1,1,1,13,1,6
792,2,3,30,1,3,0,0,0,0,0,0,1,1,2,2,1,1,1,13,1,9
795,1,1,75,1,3,0,0,0,0,0,0,1,2,2,2,1,1,0,13,1,3
802,2,3,26,1,1,0,0,0,0,0,0,2,1,2,2,3,0,0,4,1,2
803,1,3,18,1,1,0,0,0,0,0,0,1,1,2,2,3,1,0,4,1,2
